who?	को?
i know how tom got strong.	मलाई थाहा छ टम कसरी बलियो भयो।
i know that tom is in bed.	मलाई थाहा छ टम ओछ्यानमा छ।
i really liked your story.	मलाई तपाईको कथा साँच्चै मन पर्यो।
i really liked your story.	मलाई तिम्रो कथा साँच्चै मन पर्यो।
i really want to help you.	म साँच्चै तपाईंलाई मद्दत गर्न चाहन्छु।
i really want to meet tom.	म साँच्चै टमलाई भेट्न चाहन्छु।
i sent tom back to boston.	मैले टमलाई बोस्टन फिर्ता पठाएँ।
i stopped drinking coffee.	मैले कफी पिउन छाडिदिएँ।
i suspect tom is involved.	मलाई शंका छ टम संलग्न छ।
i think that you're wrong.	मलाई लाग्छ तपाईं गलत हुनुहुन्छ।
i usually dream in french.	म सामान्यतया फ्रान्सेलीमा सपना देख्छु।
i want a few more minutes.	मलाई अझै केही मिनेट चाहिन्छ।
i want it to be a success.	म यो सफल होस् भन्ने चाहन्छु।
i want my 20 dollars back.	म मेरो 20 डलर फिर्ता चाहन्छु।
i want my kids to be safe.	म मेरो बच्चाहरु सुरक्षित हुन भन्ने चाहन्छु।
i want new business cards.	म नयाँ व्यापार कार्ड चाहन्छु।
i want the truth from you.	म तिमीबाट सत्य चाहन्छु।
i want to ask you a favor.	म तपाईलाई एउटा कृपा सोध्न चाहन्छु।
i want to be here for tom.	म टमको लागि यहाँ हुन चाहन्छु।
i want to be your husband.	म तिम्रो श्रीमान बन्न चाहन्छु।
i want to contribute more.	म थप योगदान गर्न चाहन्छु।
i want to stretch my legs.	म मेरो खुट्टा फैलाउन चाहन्छु।
i wrote you three letters.	मैले तिमीलाई तीनवटा पत्र लेखेको छु ।
i'd never let tom kiss me.	मैले टमलाई कहिल्यै चुम्बन गर्न दिइनँ।
i'll be there in a minute.	म तत्कालै त्यहाँ जान्छु।
i'm not here to celebrate.	म यहाँ उत्सव मनाउन आएको होइन।
